Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Indonesia,IDN,"INB, metode Atlas (mata uang US$)",NY.GNP.ATLS.CD,,,,,,,,,,7769866585,9052775671,9913847538,10873679138,13944893029,20050284175,28237829116,35657673274,41704721702,49942266274,56910623777,69673191450,80457776385,86906729269,83392792114,84554292399,83056775495,86661772868,87337572570,90024925894,93731587183,1.02002E+11,1.11802E+11,1.24314E+11,1.42011E+11,1.6528E+11,1.94602E+11,2.1821E+11,2.22542E+11,1.3508E+11,1.19651E+11,1.2245E+11,1.54215E+11,1.72499E+11,1.98234E+11,2.41393E+11,2.76759E+11,3.15565E+11,3.71909E+11,4.5709E+11,5.12966E+11,6.12254E+11,7.37717E+11,8.89279E+11,9.39755E+11,9.22996E+11,8.86547E+11,8.90494E+11,9.34208E+11,1.02816E+12,1.09663E+12,1.05988E+12,1.14308E+12,
Indonesia,IDN,"PDB per kapita, PPP (mata uang $ internasional)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3069.98304,3330.325083,3566.031188,3823.257811,4130.580196,4489.873211,4850.37751,5083.757931,4396.787351,4427.113458,4681.91945,4892.352515,5121.33454,5399.32871,5749.521451,6188.855532,6643.880722,7161.810728,7638.009575,7941.166333,8430.615417,9022.72138,9645.149197,10009.0107,10233.98527,10219.17641,10482.699,10941.92095,11669.71728,12358.24225,12146.40679,13027.30061,
Indonesia,IDN,PDB per kapita (mata uang US$),NY.GDP.PCAP.CD,,,,,,,,53.33819588,64.83917991,74.3422146,79.41345543,78.86575674,90.51205917,130.4897437,201.6676706,232.1706348,277.0507928,332.2820539,364.2857906,355.2359511,489.1601963,563.7833647,580.8105956,510.4349866,522.7171467,514.4376638,472.7226388,440.3723783,479.8107166,527.8114773,582.6789678,629.1606798,678.977737,824.079149,907.4717857,1020.146681,1129.09271,1054.347358,459.1918631,663.5232299,770.8653516,739.0039465,888.9013897,1052.413199,1136.755211,1249.397689,1572.797934,1840.329927,2144.389544,2239.095265,3094.44309,3613.800902,3668.21207,3602.885517,3476.624853,3322.581688,3558.818852,3839.785069,3902.661668,4151.227543,3894.272202,4332.709281,
Indonesia,IDN,Pertumbuhan PDB (% tahunan),NY.GDP.MKTP.KD.ZG,,5.740645823,1.841977702,-2.237029984,3.529698148,1.081589467,2.791346825,1.380402805,10.91517857,6.822298249,7.554634515,7.023997197,7.037643208,8.103975535,7.234243817,5.607476636,7.079646018,8.26446281,6.870229008,7.142857143,10,7.878787879,2.247191011,4.395604396,6.842105263,2.463054187,5.769230769,5,5.627705628,7.786885246,7.224334601,6.775817441,6.497506517,6.49640812,7.539971096,8.220007399,7.818187077,4.699878854,-13.12672549,0.791126082,4.920067747,3.643466447,4.499475391,4.780369122,5.030873945,5.692571304,5.500951785,6.345022227,6.0137036,4.628871183,6.223854181,6.169784208,6.030050653,5.557263689,5.006668426,4.8763223,5.033069183,5.069785901,5.17429154,5.01928768,-2.065004941,3.691240112,
Indonesia,IDN,PDB (mata uang US$),NY.GDP.MKTP.CD,,,,,,,,5667756645,7076465295,8337423313,9150684932,9333536360,10997590361,16273253012,25802409639,30463855422,37269156627,45808915663,51455719100,51400186379,72482337371,85518233450,90158449307,81052283404,84853699995,85289491747,79954072569,75929617576,84300174476,94451427898,1.06141E+11,1.16622E+11,1.28027E+11,1.58007E+11,1.76892E+11,2.02132E+11,2.2737E+11,2.15749E+11,95445547873,1.40001E+11,1.65021E+11,1.60447E+11,1.95661E+11,2.34772E+11,2.56837E+11,2.85869E+11,3.64571E+11,4.32217E+11,5.10229E+11,5.3958E+11,7.55094E+11,8.92969E+11,9.1787E+11,9.12524E+11,8.90815E+11,8.60854E+11,9.31877E+11,1.01562E+12,1.04227E+12,1.1191E+12,1.05869E+12,1.18609E+12,
Indonesia,IDN,"Inflasi, deflator PDB (% tahunan)",NY.GDP.DEFL.KD.ZG,,13.93601551,178.8667404,145.8410863,114.7311593,228.8189408,-98.70383134,164.7218407,122.9728065,21.35320193,14.25307188,2.724737106,16.11983903,36.87847951,47.86057658,11.79694447,14.25041143,13.53101519,11.95672512,31.40936135,29.00470479,10.20010224,7.949716635,18.38246724,10.55972253,6.190419934,2.35606886,15.9219804,7.784797269,9.149527582,9.112057053,8.905743577,7.288856258,19.15257826,7.776572803,9.882045131,8.676509755,12.5713763,75.27116877,14.16119599,20.44745685,14.29571544,5.896051693,5.487429138,8.550727032,14.33178708,14.08742442,11.25857853,18.14975125,8.274752432,15.26429366,7.465943034,3.753878753,4.965990291,5.443174549,3.98024266,2.438924087,4.292678122,3.818323569,1.5984885,-0.436578123,6.015274347,
Indonesia,IDN,"Industri, nilai tambah (% dari PDB)",NV.IND.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,41.94831311,40.39014506,36.70986732,33.78820606,36.25428928,36.20734838,37.10764203,39.38494007,41.20477362,39.97996033,39.68049808,40.64204435,41.80083742,43.45578405,44.3289568,45.22777055,43.36006167,41.96907464,47.89350079,47.74533116,43.74956609,44.62761598,46.54105887,46.94355874,46.79914152,48.06074477,47.65212258,42.77586634,43.91342343,43.59374442,42.63567744,41.92834213,40.0478624,39.30844398,39.3791548,39.72973745,38.951768,38.25160517,39.8587969,
Indonesia,IDN,"Pertanian, nilai tambah (% dari PDB)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,24.10491929,23.45609892,23.76764132,24.25344163,23.32694531,24.12159195,23.42552877,21.5487236,19.66180729,19.52141047,17.87984443,17.28626233,17.1383462,16.67238738,16.09211022,18.08285295,19.6126764,15.67870444,15.99491776,16.31966897,15.18534822,14.3357803,13.12661864,12.97380272,13.7166831,14.48174026,15.29014815,13.92921271,13.51228707,13.37397424,13.35669916,13.336755,13.49264356,13.47874855,13.15663085,12.80849756,12.71260266,13.70246601,13.28068349,
Indonesia,IDN,Impor barang dan jasa (% dari PDB),NE.IMP.GNFS.ZS,12.55766274,13.61412465,5.392854468,9.349289454,13.0651153,5.735976381,22.09559987,16.86718566,15.57685887,14.82707873,15.83832335,16.64215686,18.89570552,19.48055794,21.42043332,21.97350208,20.83249821,20.07921855,20.84762156,23.58971317,22.1798762,25.5468562,26.29719315,28.8138284,22.79564137,20.94070151,20.51393571,22.39744778,22.21290203,22.99432903,25.58610246,26.48830381,27.1199706,23.76857247,25.3656732,27.64642505,26.44019168,28.13461553,43.21805779,27.42978378,30.45956744,30.76106843,26.39184088,23.13883897,27.54460022,29.92066824,25.6224105,25.39353149,28.75311546,21.3530017,22.40224294,23.8526601,24.98851951,24.7137963,24.41419099,20.77746098,18.33234795,19.17819264,22.07156246,19.03624974,15.70417423,18.86195672,
Indonesia,IDN,Formasi modal bruto (% dari PDB),NE.GDI.TOTL.ZS,7.867760123,10.23399277,5.602576586,8.196210421,12.08382982,6.692113032,4.526748971,8.008964378,8.804311537,11.66298749,13.62275449,15.79520697,18.77738826,17.8872864,16.78184535,20.34170457,20.72129155,20.12761234,20.53415985,20.93432088,20.87150159,21.38449294,22.58345268,29.40177156,24.88467494,25.34694597,27.64651732,27.24671899,29.09802202,30.6830326,32.70769009,31.86942548,30.17582734,28.28067311,29.57068775,30.42981109,31.60236064,30.30767579,27.42950667,22.13875931,22.24569693,22.53926632,21.40407021,25.59849839,24.05636637,25.08140994,25.40021729,24.92028385,27.81624458,30.98519241,32.88012145,32.98433326,35.07159361,33.83135679,34.60034391,34.06279218,33.8587393,33.7105948,34.57058583,33.78014238,32.35459061,31.45992115,
Indonesia,IDN,Ekspor barang dan jasa (% dari PDB),NE.EXP.GNFS.ZS,11.53254741,11.06147628,5.168152198,9.06881077,12.25205019,5.276254745,12.75720165,8.775654636,10.86946153,9.013980868,12.84431138,14.41993464,16.51621385,20.05360263,28.99794546,22.54775559,22.17409014,23.49098139,21.86714148,30.06582275,30.47417027,27.63044404,22.37903429,27.74540826,27.31497861,23.7776708,20.49560246,24.5768001,25.0416594,26.08755466,27.30575898,28.35126107,30.30746351,26.75481342,26.51142785,26.31216501,25.82455198,27.85924328,52.96813457,35.51412908,40.97730847,39.0321391,32.68762089,30.47765478,32.21669462,34.06726763,31.03471631,29.43571849,29.80828417,24.15911967,24.29903094,26.32735309,24.59437879,23.92357638,23.6659846,21.16017926,19.08899385,20.17730444,21.0027465,18.5915278,17.27142134,21.56081101,
Indonesia,IDN,Pengeluaran militer (% dari PDB),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,2.705920807,3.492189045,3.421867625,3.206089202,3.163193529,3.020258919,2.917217691,2.884622001,2.90192827,2.39812942,2.285420259,2.170599354,2.009765396,1.72218767,1.530841059,1.389136341,1.41049292,1.324064184,1.356876007,1.223557809,1.266155617,1.226309861,1.264392528,1.497741738,1.019116844,0.810812654,0.684483764,0.572792653,0.700120209,0.909285037,0.945714622,0.750789394,0.658702778,0.712361931,0.578945804,0.571133892,0.617587092,0.653776703,0.711549473,0.918769839,0.777855178,0.882266734,0.792220213,0.865191376,0.718949727,0.728504562,0.859788806,0.695925939,
